laboratorio,versao,family_name,family_design,family_clinical_category,offer_id,raw_label,canonical_label,offer_clinical_category,material,indice_refracao,is_atomic_offer,already_includes_treatment,allows_composition,base_price,source_page_reference,treatment_name,treatment_type,price_mode,special_price,final_price,sph_min,sph_max,cyl_min,cyl_max,add_min,add_max,section_name,subsection_name
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,a515c05c-676a-40a5-9705-1e401ebb51e6,Stylis 1.67 Crizal Sapphire HR,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Stylis 1.67 Crizal Sapphire HR,visao_simples,Resina High Index,1.67,true,true,false,1479.00,Pagina 27,null,null,null,null,1479.00,-9.00,5.00,0.00,-2.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,b2b919cc-447b-4b0e-b80f-e56581a539f3,Stylis 1.74 Crizal Sapphire HR,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Stylis 1.74 Crizal Sapphire HR,visao_simples,Resina High Index,1.74,true,true,false,2089.00,Pagina 27,null,null,null,null,2089.00,-10.00,-4.00,0.00,-2.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,00c9260b-29bc-4de7-8a93-328ed8e68af2,1.56,iTop LENTES ACABADAS 1.56,indefinida,Resina,1.56,true,false,false,332.00,Pagina 39,null,null,null,null,332.00,4.00,-4.00,0.00,-2.00,null,null,LENTES ACABADAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,35c83b01-108d-4663-a2c3-721fddeaea1e,1.56 Cilíndrico Estendido,iTop LENTES ACABADAS 1.56 Cilíndrico Estendido,indefinida,Resina,1.56,true,false,false,405.00,Pagina 39,null,null,null,null,405.00,4.00,-4.00,0.00,-4.00,null,null,LENTES ACABADAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,3004eef7-0171-46ac-85a3-db87a0872c8f,1.59,iTop LENTES ACABADAS 1.59,indefinida,Policarbonato,1.59,true,false,false,387.00,Pagina 39,null,null,null,null,387.00,4.00,-4.00,0.00,-2.00,null,null,LENTES ACABADAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,57e00a2e-608f-4bbc-a2b8-0ff827ccf507,1.59 Cilíndrico Estendido,iTop LENTES ACABADAS 1.59 Cilíndrico Estendido,indefinida,Policarbonato,1.59,true,false,false,552.00,Pagina 39,null,null,null,null,552.00,4.00,-4.00,0.00,-4.00,null,null,LENTES ACABADAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,de38b0f8-4c58-4269-8075-d05ab5eeb8f2,1.67,iTop LENTES ACABADAS 1.67,indefinida,Resina High Index,1.67,true,false,false,932.00,Pagina 39,null,null,null,null,932.00,6.00,-10.00,0.00,-4.00,null,null,LENTES ACABADAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,3fc2162b-ab56-428e-a768-08aa1e5a016c,Cilíndrico Estendido,iTop LENTES ACABADAS Cilíndrico Estendido,indefinida,null,1.50,true,false,false,552.00,Pagina 39,null,null,null,null,552.00,4.00,-4.00,0.00,-4.00,null,null,LENTES ACABADAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,e3e48e67-ba3f-4243-8610-cb5c71584852,Cilíndrico Estendido,iTop LENTES ACABADAS Cilíndrico Estendido,indefinida,null,1.50,true,false,false,405.00,Pagina 39,null,null,null,null,405.00,4.00,-4.00,0.00,-4.00,null,null,LENTES ACABADAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,01f79eec-7661-404e-ba15-bc9d81d8f70f,1.56 UV Led Protection Single Digital,iTop LENTES SURFAÇADAS DIGITAIS 1.56 UV Led Protection Single Digital,visao_simples,Resina,1.56,false,false,true,1118.00,Pagina 39,Trio Easy Clean,Antirreflexo,final,1383.00,1383.00,8.00,-6.00,0.00,-8.00,null,null,LENTES SURFAÇADAS DIGITAIS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,01f79eec-7661-404e-ba15-bc9d81d8f70f,1.56 UV Led Protection Single Digital,iTop LENTES SURFAÇADAS DIGITAIS 1.56 UV Led Protection Single Digital,visao_simples,Resina,1.56,false,false,true,1118.00,Pagina 39,Vert Clair,Antirreflexo,final,1688.00,1688.00,8.00,-6.00,0.00,-8.00,null,null,LENTES SURFAÇADAS DIGITAIS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,73a6ed4a-7461-411e-815a-9f402c1f7b7b,1.67 UV Led Protection Single Digital,iTop LENTES SURFAÇADAS DIGITAIS 1.67 UV Led Protection Single Digital,visao_simples,Resina,1.67,false,false,true,2567.00,Pagina 39,Trio Easy Clean,Antirreflexo,final,2567.00,2567.00,10.00,-10.00,0.00,-8.00,null,null,LENTES SURFAÇADAS DIGITAIS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,73a6ed4a-7461-411e-815a-9f402c1f7b7b,1.67 UV Led Protection Single Digital,iTop LENTES SURFAÇADAS DIGITAIS 1.67 UV Led Protection Single Digital,visao_simples,Resina,1.67,false,false,true,2567.00,Pagina 39,Vert Clair,Antirreflexo,final,2856.00,2856.00,10.00,-10.00,0.00,-8.00,null,null,LENTES SURFAÇADAS DIGITAIS,null
