"fonte_tabela","laboratorio","pagina_pdf","bloco_visual","familia","produto","design","material","indice_refracao","tratamento","nota_disponibilidade"
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Prevencia","Crizal Prevencia",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Rock","Crizal Rock",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Easy Pro","Crizal Easy Pro",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Optifog","Optifog",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.74","1.74","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Prevencia","Crizal Prevencia",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Rock","Crizal Rock",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Easy Pro","Crizal Easy Pro",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Optifog","Optifog",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","No Reflex","No Reflex",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Trio Easy Clean","Trio Easy Clean",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Blue UV","Blue UV",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Prevencia","Crizal Prevencia",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Rock","Crizal Rock",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Easy Pro","Crizal Easy Pro",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Optifog","Optifog",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Trio Easy Clean","Trio Easy Clean",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","No Reflex","No Reflex",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Prevencia","Crizal Prevencia",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Rock","Crizal Rock",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Easy Pro","Crizal Easy Pro",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Optifog","Optifog",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Trio Easy Clean","Trio Easy Clean",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","No Reflex","No Reflex",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Prevencia","Crizal Prevencia",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Rock","Crizal Rock",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Easy Pro","Crizal Easy Pro",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Optifog","Optifog",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","No Reflex","No Reflex",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Trio Easy Clean","Trio Easy Clean",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Blue UV","Blue UV",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Prevencia","Crizal Prevencia",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Rock","Crizal Rock",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Easy Pro","Crizal Easy Pro",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Optifog","Optifog",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Trio Easy Clean","Trio Easy Clean",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","No Reflex","No Reflex",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Prevencia","Crizal Prevencia",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Rock","Crizal Rock",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Easy Pro","Crizal Easy Pro",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Optifog","Optifog",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Trio Easy Clean","Trio Easy Clean",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","No Reflex","No Reflex",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Prevencia","Crizal Prevencia",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Rock","Crizal Rock",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Easy Pro","Crizal Easy Pro",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Optifog","Optifog",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Prevencia","Crizal Prevencia",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Rock","Crizal Rock",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Crizal Easy Pro","Crizal Easy Pro",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Optifog","Optifog",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.74","1.74","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.74","1.74","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Xperio Marrom","Xperio",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Xperio Verde","Xperio",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Xperio Marrom","Xperio",""
"PVO","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Xperio Verde","Xperio",""
"PVC","Essilor","12","VS Surfaçada - Principal","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Sem AR","traço - não disponível"
"PVC","Essilor","12","VS Surfaçada - Principal","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Sem AR","traço - não disponível"
"PVC","Essilor","12","VS Surfaçada - Principal","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Sem AR","traço - não disponível"
"PVO","Essilor","12","VS Surfaçada - Principal","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Sem AR","traço - não disponível"
"PVO","Essilor","12","VS Surfaçada - Principal","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Sem AR","traço - não disponível"
"PVO","Essilor","12","VS Surfaçada - Principal","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Stylis 1.67","1.67","Sem AR","traço - não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.74","Crizal Prevencia","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.74","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.74","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVC","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.74","Optifog","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
