family_name,raw_label,canonical_label,material,indice_refracao,base_price,compatible_treatments,source_page_reference,confidence_level
VARILUX® XR SERIES,Orma + Xperio cinza/marrom,VARILUX® XR SERIES DIGITAL Orma + Xperio cinza/marrom,Resina,,6459.0,"Crizal Easy Pro=7119.0, Optifog=7099.0, Verniz Hc=6459.0",Pagina 12,0.78
VARILUX® XR SERIES,Stylis 1.67,VARILUX® XR SERIES DIGITAL Stylis 1.67,Resina High Index,1.67,9719.0,"Crizal Easy Pro=9989.0, Optifog=9989.0, Verniz Hc=9719.0",Pagina 12,0.86
VARILUX® XR SERIES,Stylis 1.67 + Transitions Extractive,VARILUX® XR SERIES DIGITAL Stylis 1.67 + Transitions Extractive,Resina High Index,1.67,11299.0,"Crizal Easy Pro=11569.0, Optifog=11569.0, Verniz Hc=11299.0",Pagina 12,0.86
VARILUX® XR SERIES,Stylis 1.67 + Transitions Gen S,VARILUX® XR SERIES DIGITAL Stylis 1.67 + Transitions Gen S,Resina High Index,1.67,11239.0,"Crizal Easy Pro=11509.0, Optifog=11509.0, Verniz Hc=11239.0",Pagina 12,0.86
VARILUX® XR SERIES,Stylis 1.74,VARILUX® XR SERIES DIGITAL Stylis 1.74,Resina High Index,1.74,11859.0,Optifog=11859.0,Pagina 12,0.86
VARILUX® XR SERIES,Stylis 1.74 + Transitions Gen S,VARILUX® XR SERIES DIGITAL Stylis 1.74 + Transitions Gen S,Resina High Index,1.74,13379.0,Optifog=13379.0,Pagina 12,0.86
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES DIGITAL Airwear,Policarbonato,,6659.0,"Crizal Easy Pro=6929.0, Optifog=6929.0, Verniz Hc=6659.0",Pagina 13,0.86
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES DIGITAL Airwear,Policarbonato,,6089.0,Verniz Hc=6089.0,Pagina 13,0.78
VARILUX® XR SERIES,Airwear + Transitions Extractive,VARILUX® XR SERIES DIGITAL Airwear + Transitions Extractive,Policarbonato,,8239.0,"Crizal Easy Pro=8509.0, Optifog=8509.0, Verniz Hc=8239.0",Pagina 13,0.86
VARILUX® XR SERIES,Airwear + Transitions Gen S,VARILUX® XR SERIES DIGITAL Airwear + Transitions Gen S,Policarbonato,,8179.0,"Crizal Easy Pro=8449.0, Optifog=8449.0, Verniz Hc=8179.0",Pagina 13,0.86
VARILUX® XR SERIES,Airwear + Xperio cinza/marrom,VARILUX® XR SERIES DIGITAL Airwear + Xperio cinza/marrom,Policarbonato,,6599.0,"Crizal Easy Pro=7259.0, Optifog=7239.0, Verniz Hc=6599.0",Pagina 13,0.78
VARILUX® XR SERIES,Orma,VARILUX® XR SERIES DIGITAL Orma,Resina,,6239.0,"Crizal Easy Pro=6509.0, Optifog=6509.0, Verniz Hc=6239.0",Pagina 13,0.86
VARILUX® XR SERIES,Orma,VARILUX® XR SERIES DIGITAL Orma,Resina,,5669.0,Verniz Hc=5669.0,Pagina 13,0.78
VARILUX® XR SERIES,Orma + Coloração especial,VARILUX® XR SERIES DIGITAL Orma + Coloração especial,Resina,,5779.0,Verniz Hc=5779.0,Pagina 13,0.78
VARILUX® XR SERIES,Orma + Transitions Extractive,VARILUX® XR SERIES DIGITAL Orma + Transitions Extractive,Resina,,7819.0,"Crizal Easy Pro=8089.0, Optifog=8089.0, Verniz Hc=7819.0",Pagina 13,0.86
VARILUX® XR SERIES,Orma + Transitions Gen S,VARILUX® XR SERIES DIGITAL Orma + Transitions Gen S,Resina,,7759.0,"Crizal Easy Pro=8029.0, Optifog=8029.0, Verniz Hc=7759.0",Pagina 13,0.86
VARILUX® XR SERIES,Orma + Xperio cinza/marrom,VARILUX® XR SERIES DIGITAL Orma + Xperio cinza/marrom,Resina,,6179.0,"Crizal Easy Pro=6839.0, Optifog=6819.0, Verniz Hc=6179.0",Pagina 13,0.78
VARILUX® XR SERIES,Stylis 1.67,VARILUX® XR SERIES DIGITAL Stylis 1.67,Resina High Index,1.67,9439.0,"Crizal Easy Pro=9709.0, Optifog=9709.0, Verniz Hc=9439.0",Pagina 13,0.86
VARILUX® XR SERIES,Stylis 1.67 + Transitions Extractive,VARILUX® XR SERIES DIGITAL Stylis 1.67 + Transitions Extractive,Resina High Index,1.67,11019.0,"Crizal Easy Pro=11289.0, Optifog=11289.0, Verniz Hc=11019.0",Pagina 13,0.86
VARILUX® XR SERIES,Stylis 1.67 + Transitions Gen S,VARILUX® XR SERIES DIGITAL Stylis 1.67 + Transitions Gen S,Resina High Index,1.67,10959.0,"Crizal Easy Pro=11229.0, Optifog=11229.0, Verniz Hc=10959.0",Pagina 13,0.86
VARILUX® XR SERIES,Stylis 1.74,VARILUX® XR SERIES DIGITAL Stylis 1.74,Resina High Index,1.74,11579.0,Optifog=11579.0,Pagina 13,0.86
VARILUX® XR SERIES,Stylis 1.74 + Transitions Gen S,VARILUX® XR SERIES DIGITAL Stylis 1.74 + Transitions Gen S,Resina High Index,1.74,13099.0,Optifog=13099.0,Pagina 13,0.86
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES DIGITAL Airwear,Policarbonato,,6019.0,"Crizal Easy Pro=6289.0, Optifog=6289.0, Verniz Hc=6019.0",Pagina 14,0.86
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES DIGITAL Airwear,Policarbonato,,5449.0,Verniz Hc=5449.0,Pagina 14,0.78
