name,type,tags,features
Sigma Blue,Antirreflexo,antirreflexo,{}
Sigma Supreme,Antirreflexo,antirreflexo,{}
Sigma Premium,Antirreflexo,antirreflexo,{}
Sigma Light,Antirreflexo,antirreflexo,{}
