ID_Item;ID_Venda_CSV;ID_Produto_CSV;Qtd;Valor;DIAGNOSTICO
2286;1506;1533;1;90,00;Venda Pai Nao Existe no Banco
2287;1507;7558;1;590,00;Venda Pai Nao Existe no Banco
2288;1509;1562;1;500,00;Venda Pai Nao Existe no Banco
2289;1510;6398;1;250,00;Venda Pai Nao Existe no Banco
2290;1489;1370;1;130,00;Venda Pai Nao Existe no Banco
2291;1512;1534;1;160,00;Venda Pai Nao Existe no Banco
2292;1512;1542;1;260,00;Venda Pai Nao Existe no Banco
2293;1512;1545;1;320,00;Venda Pai Nao Existe no Banco
2294;1513;1673;1;66,00;Venda Pai Nao Existe no Banco
2296;1506;5268;1;110,00;Venda Pai Nao Existe no Banco
2297;1513;1231;1;160,00;Venda Pai Nao Existe no Banco
2298;1514;1534;1;140,00;Venda Pai Nao Existe no Banco
2299;1515;7448;1;340,00;Venda Pai Nao Existe no Banco
2300;1515;1534;1;140,00;Venda Pai Nao Existe no Banco
2301;1516;1533;1;70,00;Venda Pai Nao Existe no Banco
2303;1516;1370;1;100,00;Venda Pai Nao Existe no Banco
2304;1517;3663;1;150,00;Venda Pai Nao Existe no Banco
2305;1518;6145;1;80,00;Venda Pai Nao Existe no Banco
2306;1519;1534;1;120,00;Venda Pai Nao Existe no Banco
2307;1519;7367;1;200,00;Venda Pai Nao Existe no Banco
2308;1520;5221;0,5;197,00;Venda Pai Nao Existe no Banco
2309;1521;1552;1;190,00;Venda Pai Nao Existe no Banco
2310;1522;1721;1;550,00;Venda Pai Nao Existe no Banco
2311;1522;5095;1;190,00;Venda Pai Nao Existe no Banco
2312;1523;1534;1;160,00;Venda Pai Nao Existe no Banco
2313;1523;7527;1;220,00;Venda Pai Nao Existe no Banco
2314;1524;1542;1;260,00;Venda Pai Nao Existe no Banco
2315;1524;1370;1;100,00;Venda Pai Nao Existe no Banco
2316;1525;1542;1;240,00;Venda Pai Nao Existe no Banco
2317;1526;6763;1;250,00;Venda Pai Nao Existe no Banco
2320;1527;333;1;200,00;Venda Pai Nao Existe no Banco
2322;1529;5906;1;280,00;Venda Pai Nao Existe no Banco
2323;1529;4514;1;260,00;Venda Pai Nao Existe no Banco
2324;1530;1552;1;190,00;Venda Pai Nao Existe no Banco
2325;1530;7011;1;230,00;Venda Pai Nao Existe no Banco
2326;1531;1533;1;90,00;Venda Pai Nao Existe no Banco
2327;1531;5760;1;100,00;Venda Pai Nao Existe no Banco
2328;1533;1534;1;160,00;Venda Pai Nao Existe no Banco
2329;1534;1533;1;110,00;Venda Pai Nao Existe no Banco
2330;1535;1533;1;90,00;Venda Pai Nao Existe no Banco
2332;1536;5133;1;98,00;Venda Pai Nao Existe no Banco
2333;1537;1542;1;250,00;Venda Pai Nao Existe no Banco
