ID_Venda;Num_Parcela;Valor_Parcela;Valor_Pago;Data_Venc;Data_Pgto;Recibo;TIPO_ERRO
0;5;226,40;0,00;10/09/2017;;FALSO;Original
0;5;10,00;0,00;;;FALSO;Duplicata/Parcial
2427;1;95,00;95,00;20/03/2018;20/02/2018;FALSO;Original
2427;1;100,00;100,00;16/12/2018;20/12/2018;FALSO;Duplicata/Parcial
2542;1;60,00;60,00;05/04/2018;09/04/2018;VERDADEIRO;Original
2542;1;100,00;100,00;05/05/2018;09/06/2018;FALSO;Duplicata/Parcial
2542;1;130,00;130,00;05/07/2018;03/07/2018;FALSO;Duplicata/Parcial
2639;1;130,00;140,00;31/05/2018;31/07/2018;FALSO;Original
2639;1;150,00;150,00;17/05/2018;18/05/2018;FALSO;Duplicata/Parcial
2643;1;65,00;65,00;30/05/2018;29/05/2018;FALSO;Original
2643;1;30,00;30,00;30/09/2018;30/08/2018;FALSO;Duplicata/Parcial
0;7;83,00;0,00;;;FALSO;Original
0;7;240,00;0,00;10/09/2024;;FALSO;Duplicata/Parcial
2727;1;100,00;100,00;06/06/2018;21/05/2018;VERDADEIRO;Original
2727;1;150,00;150,00;06/06/2018;06/06/2018;FALSO;Duplicata/Parcial
2727;1;30,00;30,00;06/07/2018;06/07/2018;FALSO;Duplicata/Parcial
3086;1;110,00;110,00;15/10/2018;15/10/2018;FALSO;Original
3086;1;60,00;60,00;15/10/2018;21/09/2020;FALSO;Duplicata/Parcial
3428;1;125,00;125,00;26/01/2019;25/01/2019;FALSO;Original
3428;1;10,00;10,00;26/07/2019;26/08/2019;FALSO;Duplicata/Parcial
3288;1;100,00;100,00;28/02/2019;29/08/2019;FALSO;Original
3288;1;50,00;50,00;28/02/2019;05/12/2019;FALSO;Duplicata/Parcial
3573;1;35,00;35,00;08/03/2019;12/03/2019;FALSO;Original
3573;1;25,00;25,00;08/07/2019;29/05/2019;FALSO;Duplicata/Parcial
3613;1;50,00;50,00;06/03/2019;06/03/2019;FALSO;Original
3613;1;50,00;50,00;06/05/2019;29/04/2019;FALSO;Duplicata/Parcial
3623;1;3,00;3,00;27/03/2019;12/04/2019;FALSO;Original
3623;1;117,00;117,00;27/04/2019;25/04/2019;FALSO;Duplicata/Parcial
3634;1;80,00;80,00;07/04/2019;04/06/2019;FALSO;Original
3634;1;60,00;60,00;10/06/2019;08/10/2020;FALSO;Duplicata/Parcial
