Código;Lk_Vendas;Data_Venc;Valor_Parcela;Data_Pgto;Valor_Pago;Número_parcela1;Número_parcela2;cartão;che pré;dinheiro;Requisição;multa;juros;comissão;recibo
22823;6780;07/11/2021;100,00;03/11/2021;100,00;1;1;0,00;0,00;100,00;0,00;0,00;0,00;0,00;FALSO
22824;6804;10/11/2021;300,00;08/02/2022;300,00;1;2;0,00;0,00;300,00;0,00;0,00;0,00;0,00;FALSO
22825;6804;10/12/2021;0,00;;0,00;2;2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22826;6768;20/11/2021;150,00;;0,00;1;5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22827;6768;20/12/2021;150,00;;0,00;2;5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22828;6768;20/01/2022;150,00;;0,00;3;5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22829;6768;20/02/2022;150,00;;0,00;4;5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22830;6768;20/03/2022;150,00;;0,00;5;5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22831;6806;10/11/2021;32,00;09/11/2021;32,00;1;5;0,00;0,00;32,00;0,00;0,00;0,00;0,00;FALSO
22832;6806;10/12/2021;32,00;16/12/2021;32,00;2;5;0,00;0,00;32,00;0,00;0,00;0,00;0,00;FALSO
22833;6806;10/01/2022;32,00;19/01/2022;32,00;3;5;0,00;0,00;32,00;0,00;0,00;0,00;0,00;FALSO
22834;6806;10/02/2022;32,00;21/02/2022;32,00;4;5;0,00;0,00;32,00;0,00;0,00;0,00;0,00;FALSO
22835;6806;10/03/2022;32,00;10/03/2022;32,00;5;5;0,00;0,00;32,00;0,00;0,00;0,00;0,00;FALSO
22842;6797;09/11/2021;60,00;09/11/2021;60,00;1;5;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
22843;6797;09/12/2021;60,00;09/12/2021;60,00;2;5;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
22844;6797;09/01/2022;60,00;10/01/2022;60,00;3;5;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
22845;6797;09/02/2022;60,00;10/02/2022;60,00;4;5;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
22846;6797;09/03/2022;60,00;14/03/2022;60,00;5;5;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
22847;6786;10/11/2021;143,00;18/11/2021;143,00;1;3;0,00;0,00;143,00;0,00;0,00;0,00;0,00;FALSO
